year,sex,money_measure,education,avg_income,color,idtf,error
2015,Female,Current Dollars,"Some high school, no completion",22670,steelblue,"Female Some high school, no completion",(714)
2016,Female,Current Dollars,"Some high school, no completion",24800,steelblue,"Female Some high school, no completion",(562)
2017,Female,Current Dollars,"Some high school, no completion",25450,steelblue,"Female Some high school, no completion",(459)
2018,Female,Current Dollars,"Some high school, no completion",25140,steelblue,"Female Some high school, no completion",(576)
2019,Female,Current Dollars,"Some high school, no completion",26740,steelblue,"Female Some high school, no completion",(337)
1990,Male,Constant 2019 Dollars,"Some high school, no completion",40900,darkred,"Male Some high school, no completion",(---)
1995,Male,Constant 2019 Dollars,"Some high school, no completion",37220,darkred,"Male Some high school, no completion",(574)
2000,Male,Constant 2019 Dollars,"Some high school, no completion",37260,darkred,"Male Some high school, no completion",(647)
2001,Male,Constant 2019 Dollars,"Some high school, no completion",37840,darkred,"Male Some high school, no completion",(362)
2002,Male,Constant 2019 Dollars,"Some high school, no completion",36820,darkred,"Male Some high school, no completion",(294)
2003,Male,Constant 2019 Dollars,"Some high school, no completion",36780,darkred,"Male Some high school, no completion",(389)
2004,Male,Constant 2019 Dollars,"Some high school, no completion",35570,darkred,"Male Some high school, no completion",(317)
2005,Male,Constant 2019 Dollars,"Some high school, no completion",35590,darkred,"Male Some high school, no completion",(310)
2006,Male,Constant 2019 Dollars,"Some high school, no completion",35070,darkred,"Male Some high school, no completion",(727)
2007,Male,Constant 2019 Dollars,"Some high school, no completion",36150,darkred,"Male Some high school, no completion",(727)
2008,Male,Constant 2019 Dollars,"Some high school, no completion",35240,darkred,"Male Some high school, no completion",(544)
2009,Male,Constant 2019 Dollars,"Some high school, no completion",33390,darkred,"Male Some high school, no completion",(646)
2010,Male,Constant 2019 Dollars,"Some high school, no completion",34510,darkred,"Male Some high school, no completion",(802)
2011,Male,Constant 2019 Dollars,"Some high school, no completion",34580,darkred,"Male Some high school, no completion",(341)
2012,Male,Constant 2019 Dollars,"Some high school, no completion",33770,darkred,"Male Some high school, no completion",(479)
2013,Male,Constant 2019 Dollars,"Some high school, no completion",33540,darkred,"Male Some high school, no completion",(605)
2014,Male,Constant 2019 Dollars,"Some high school, no completion",33300,darkred,"Male Some high school, no completion",(413)
2015,Male,Constant 2019 Dollars,"Some high school, no completion",34670,darkred,"Male Some high school, no completion",(345)
2016,Male,Constant 2019 Dollars,"Some high school, no completion",34610,darkred,"Male Some high school, no completion","(1,318)"
2017,Male,Constant 2019 Dollars,"Some high school, no completion",36110,darkred,"Male Some high school, no completion","(1,303)"
2018,Male,Constant 2019 Dollars,"Some high school, no completion",36250,darkred,"Male Some high school, no completion",(413)
2019,Male,Constant 2019 Dollars,"Some high school, no completion",37150,darkred,"Male Some high school, no completion",(826)
1990,Female,Constant 2019 Dollars,"Some high school, no completion",28230,steelblue,"Female Some high school, no completion",(---)
1995,Female,Constant 2019 Dollars,"Some high school, no completion",26550,steelblue,"Female Some high school, no completion",(492)
2000,Female,Constant 2019 Dollars,"Some high school, no completion",26600,steelblue,"Female Some high school, no completion",(644)
2001,Female,Constant 2019 Dollars,"Some high school, no completion",27660,steelblue,"Female Some high school, no completion",(518)
2002,Female,Constant 2019 Dollars,"Some high school, no completion",27440,steelblue,"Female Some high school, no completion",(512)
2003,Female,Constant 2019 Dollars,"Some high school, no completion",26320,steelblue,"Female Some high school, no completion",(454)
2004,Female,Constant 2019 Dollars,"Some high school, no completion",25940,steelblue,"Female Some high school, no completion",(432)
2005,Female,Constant 2019 Dollars,"Some high school, no completion",26350,steelblue,"Female Some high school, no completion",(359)
2006,Female,Constant 2019 Dollars,"Some high school, no completion",25530,steelblue,"Female Some high school, no completion",(342)
2007,Female,Constant 2019 Dollars,"Some high school, no completion",25150,steelblue,"Female Some high school, no completion",(360)
2008,Female,Constant 2019 Dollars,"Some high school, no completion",24230,steelblue,"Female Some high school, no completion",(350)
2009,Female,Constant 2019 Dollars,"Some high school, no completion",25290,steelblue,"Female Some high school, no completion",(359)
2010,Female,Constant 2019 Dollars,"Some high school, no completion",24480,steelblue,"Female Some high school, no completion",(392)
2011,Female,Constant 2019 Dollars,"Some high school, no completion",24000,steelblue,"Female Some high school, no completion",(149)
2012,Female,Constant 2019 Dollars,"Some high school, no completion",23810,steelblue,"Female Some high school, no completion",(317)
2013,Female,Constant 2019 Dollars,"Some high school, no completion",24420,steelblue,"Female Some high school, no completion",(597)
2014,Female,Constant 2019 Dollars,"Some high school, no completion",23740,steelblue,"Female Some high school, no completion",(348)
2015,Female,Constant 2019 Dollars,"Some high school, no completion",24450,steelblue,"Female Some high school, no completion",(770)
2016,Female,Constant 2019 Dollars,"Some high school, no completion",26420,steelblue,"Female Some high school, no completion",(599)
2017,Female,Constant 2019 Dollars,"Some high school, no completion",26550,steelblue,"Female Some high school, no completion",(479)
2018,Female,Constant 2019 Dollars,"Some high school, no completion",25590,steelblue,"Female Some high school, no completion",(586)
2019,Female,Constant 2019 Dollars,"Some high school, no completion",26740,steelblue,"Female Some high school, no completion",(337)
1990,Male,Current Dollars,High school completion,26650,darkred,Male High school completion (includes equivalency),(---)
1995,Male,Current Dollars,High school completion,29510,darkred,Male High school completion (includes equivalency),(358)
2000,Male,Current Dollars,High school completion,34300,darkred,Male High school completion (includes equivalency),(457)
2001,Male,Current Dollars,High school completion,34720,darkred,Male High school completion (includes equivalency),(299)
2002,Male,Current Dollars,High school completion,33210,darkred,Male High school completion (includes equivalency),(311)
2003,Male,Current Dollars,High school completion,35410,darkred,Male High school completion (includes equivalency),(168)
2004,Male,Current Dollars,High school completion,35730,darkred,Male High school completion (includes equivalency),(148)
2005,Male,Current Dollars,High school completion,36300,darkred,Male High school completion (includes equivalency),(141)
2006,Male,Current Dollars,High school completion,37030,darkred,Male High school completion (includes equivalency),(164)
2007,Male,Current Dollars,High school completion,37860,darkred,Male High school completion (includes equivalency),(406)
2008,Male,Current Dollars,High school completion,39010,darkred,Male High school completion (includes equivalency),(399)
2009,Male,Current Dollars,High school completion,39480,darkred,Male High school completion (includes equivalency),(379)
2010,Male,Current Dollars,High school completion,40060,darkred,Male High school completion (includes equivalency),(237)
